# Python 3.12.14 / Unicode 15.0.0 canonical scalar names and aliases
# Names are uppercase ASCII; values are Unicode scalar values in hex.
ABACUS;1f9ee
AC CURRENT;23e6
ACCORDION;1fa97
ACCOUNT OF;2100
ACK;6
ACKNOWLEDGE;6
ACTIVATE ARABIC FORM SHAPING;206d
ACTIVATE SYMMETRIC SWAPPING;206b
ACUTE ACCENT;b4
ACUTE ANGLE;299f
ADDRESSED TO THE SUBJECT;2101
ADHESIVE BANDAGE;1fa79
ADI SHAKTI;262c
ADLAM ALIF LENGTHENER;1e944
ADLAM CAPITAL LETTER ALIF;1e900
ADLAM CAPITAL LETTER BA;1e904
ADLAM CAPITAL LETTER BHE;1e907
ADLAM CAPITAL LETTER CHI;1e915
ADLAM CAPITAL LETTER DAALI;1e901
ADLAM CAPITAL LETTER DHA;1e90d
ADLAM CAPITAL LETTER E;1e909
ADLAM CAPITAL LETTER FA;1e90a
ADLAM CAPITAL LETTER GA;1e918
ADLAM CAPITAL LETTER GBE;1e91e
ADLAM CAPITAL LETTER HA;1e916
ADLAM CAPITAL LETTER I;1e90b
ADLAM CAPITAL LETTER JIIM;1e914
ADLAM CAPITAL LETTER KAF;1e911
ADLAM CAPITAL LETTER KHA;1e91d
ADLAM CAPITAL LETTER KPO;1e920
ADLAM CAPITAL LETTER LAAM;1e902
ADLAM CAPITAL LETTER MIIM;1e903
ADLAM CAPITAL LETTER NHA;1e91b
ADLAM CAPITAL LETTER NUN;1e910
ADLAM CAPITAL LETTER NYA;1e919
ADLAM CAPITAL LETTER O;1e90c
ADLAM CAPITAL LETTER PE;1e906
ADLAM CAPITAL LETTER QAAF;1e917
ADLAM CAPITAL LETTER RA;1e908
ADLAM CAPITAL LETTER SHA;1e921
ADLAM CAPITAL LETTER SINNYIIYHE;1e905
ADLAM CAPITAL LETTER TU;1e91a
ADLAM CAPITAL LETTER U;1e913
ADLAM CAPITAL LETTER VA;1e91c
ADLAM CAPITAL LETTER WAW;1e90f
ADLAM CAPITAL LETTER YA;1e912
ADLAM CAPITAL LETTER YHE;1e90e
ADLAM CAPITAL LETTER ZAL;1e91f
ADLAM CONSONANT MODIFIER;1e948
ADLAM DIGIT EIGHT;1e958
ADLAM DIGIT FIVE;1e955
ADLAM DIGIT FOUR;1e954
ADLAM DIGIT NINE;1e959
ADLAM DIGIT ONE;1e951
ADLAM DIGIT SEVEN;1e957
ADLAM DIGIT SIX;1e956
ADLAM DIGIT THREE;1e953
ADLAM DIGIT TWO;1e952
ADLAM DIGIT ZERO;1e950
ADLAM GEMINATE CONSONANT MODIFIER;1e949
ADLAM GEMINATION MARK;1e946
ADLAM HAMZA;1e947
ADLAM INITIAL EXCLAMATION MARK;1e95e
ADLAM INITIAL QUESTION MARK;1e95f
ADLAM NASALIZATION MARK;1e94b
ADLAM NUKTA;1e94a
ADLAM SMALL LETTER ALIF;1e922
ADLAM SMALL LETTER BA;1e926
ADLAM SMALL LETTER BHE;1e929
ADLAM SMALL LETTER CHI;1e937
ADLAM SMALL LETTER DAALI;1e923
ADLAM SMALL LETTER DHA;1e92f
ADLAM SMALL LETTER E;1e92b
ADLAM SMALL LETTER FA;1e92c
ADLAM SMALL LETTER GA;1e93a
ADLAM SMALL LETTER GBE;1e940
ADLAM SMALL LETTER HA;1e938
ADLAM SMALL LETTER I;1e92d
ADLAM SMALL LETTER JIIM;1e936
ADLAM SMALL LETTER KAF;1e933
ADLAM SMALL LETTER KHA;1e93f
ADLAM SMALL LETTER KPO;1e942
ADLAM SMALL LETTER LAAM;1e924
ADLAM SMALL LETTER MIIM;1e925
ADLAM SMALL LETTER NHA;1e93d
ADLAM SMALL LETTER NUN;1e932
ADLAM SMALL LETTER NYA;1e93b
ADLAM SMALL LETTER O;1e92e
ADLAM SMALL LETTER PE;1e928
ADLAM SMALL LETTER QAAF;1e939
ADLAM SMALL LETTER RA;1e92a
ADLAM SMALL LETTER SHA;1e943
ADLAM SMALL LETTER SINNYIIYHE;1e927
ADLAM SMALL LETTER TU;1e93c
ADLAM SMALL LETTER U;1e935
ADLAM SMALL LETTER VA;1e93e
ADLAM SMALL LETTER WAW;1e931
ADLAM SMALL LETTER YA;1e934
ADLAM SMALL LETTER YHE;1e930
ADLAM SMALL LETTER ZAL;1e941
ADLAM VOWEL LENGTHENER;1e945
ADMETOS;2be5
ADMISSION TICKETS;1f39f
ADULT;1f9d1
AEGEAN CHECK MARK;10102
AEGEAN DRY MEASURE FIRST SUBUNIT;1013c
AEGEAN LIQUID MEASURE FIRST SUBUNIT;1013d
AEGEAN MEASURE SECOND SUBUNIT;1013e
AEGEAN MEASURE THIRD SUBUNIT;1013f
AEGEAN NUMBER EIGHT;1010e
AEGEAN NUMBER EIGHT HUNDRED;10120
AEGEAN NUMBER EIGHT THOUSAND;10129
